<Saved Data Information>											
���� �Ͻ� = 2016-12-07 19:40:10											
���� ���� = 200											
											
No	Measured DateTime	Calibration DB	Temperature [C]	Tree [No]	Sugar [Brix]	Acidity [%]	Firmness [Kgf]	DryMatter [%]	Coloring [%]	Size	Browning
137	2016-12-07 18:53	persimon	34	0	10.2	0	0	0	0	0	0
138	2016-12-07 18:53	persimon	34	0	10.1	0	0	0	0	0	0
139	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
140	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
141	2016-12-07 18:54	persimon	34	0	10.5	0	0	0	0	0	0
142	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
143	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
144	2016-12-07 18:54	persimon	34	0	9.5	0	0	0	0	0	0
145	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
146	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
147	2016-12-07 18:53	persimon	33	0	10.6	0	0	0	0	0	0
148	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
149	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
150	2016-12-07 18:53	persimon	33	0	9.8	0	0	0	0	0	0
151	2016-12-07 18:53	persimon	34	0	9.7	0	0	0	0	0	0
152	2016-12-07 18:53	persimon	34	0	9.9	0	0	0	0	0	0
153	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
154	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
155	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
156	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
157	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
158	2016-12-07 18:54	persimon	34	0	10.5	0	0	0	0	0	0
159	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
160	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
161	2016-12-07 18:53	persimon	33	0	9.5	0	0	0	0	0	0
162	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
163	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
164	2016-12-07 18:53	persimon	33	0	10.6	0	0	0	0	0	0
165	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
166	2016-12-07 18:53	persimon	34	0	10.4	0	0	0	0	0	0
167	2016-12-07 18:53	persimon	34	0	9.8	0	0	0	0	0	0
168	2016-12-07 18:53	persimon	34	0	9.7	0	0	0	0	0	0
169	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
170	2016-12-07 18:54	persimon	34	0	10.6	0	0	0	0	0	0
171	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
172	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
173	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
174	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
175	2016-12-07 18:54	persimon	34	0	10.5	0	0	0	0	0	0
176	2016-12-07 18:53	persimon	33	0	10.2	0	0	0	0	0	0
177	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
178	2016-12-07 18:53	persimon	33	0	9.5	0	0	0	0	0	0
179	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
180	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
181	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
182	2016-12-07 18:53	persimon	34	0	9.9	0	0	0	0	0	0
183	2016-12-07 18:53	persimon	34	0	10.4	0	0	0	0	0	0
184	2016-12-07 18:54	persimon	34	0	9.8	0	0	0	0	0	0
185	2016-12-07 18:54	persimon	34	0	9.7	0	0	0	0	0	0
186	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
187	2016-12-07 18:54	persimon	34	0	10.6	0	0	0	0	0	0
188	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
189	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
190	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
191	2016-12-07 18:53	persimon	34	0	10.5	0	0	0	0	0	0
192	2016-12-07 18:54	melon	34	0	17.5	0	0	0	0	0	0
193	2016-12-07 18:54	melon	34	0	17.9	0	0	0	0	0	0
194	2016-12-07 18:54	melon	34	0	18.1	0	0	0	0	0	0
195	2016-12-07 18:54	melon	34	0	18.2	0	0	0	0	0	0
196	2016-12-07 18:54	melon	34	0	17.7	0	0	0	0	0	0
197	2016-12-07 18:54	melon	34	0	17.6	0	0	0	0	0	0
198	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
199	2016-12-07 18:54	persimon	34	0	9.8	0	0	0	0	0	0
200	2016-12-07 18:54	melon	34	0	17.7	0	0	0	0	0	0
<EOF>											
